State,Percent,Id,Income,Population,Tag,pVeterans,Mental Health Counselors,Child Family and School Social Workers,Healthcare Social Workers,Mental Health and Substance Abuse Social Workers,Social Workers All Other,Psychiatrists,Clinical Counseling and School Psychologists,Psychologists All Other,Total health workers,Population,Health/Pop,Total Employment,Ratio,Total Emplyment,Mental Health Counselors per 1000,Child Family and School Social Workers per 1000,Healthcare Social Workers per 10000,Mental Health and Substance Abuse Social Workers per 1000,Social Workers All Other per 1000,Psychiatrists per 1000,Clinical Counseling and School Psychologists per 1000,Psychologists All Other per 1000,Sum
Alabama,13.1,1,37993,4779736,AL,9,790,3840,2250,1270,290,240,660,120,9460,4849000,0.0019509,,0.5093,,0.428,2.069,1.211,0.683,0.154,0.13,0.353,0.067,5.095
Alaska,8.2,2,42580,710231,AK,10,,,,,,,,,,,,,,,,,,,,,,,
Arizona,10,4,33987,6392017,AZ,8,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,12.5,5,36001,2915918,AR,8,,,,,,,,,,,,,,,,,,,,,,,
California,11,6,36682,37253956,CA,5,,,,,,,,,,,,,,,,,,,,,,,
Colorado,10,8,40711,5029196,CO,8,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,9.5,9,49739,3574097,CT,6,,,,,,,,,,,,,,,,,,,,,,,
Delaware,11,10,39269,897934,DE,9,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,7.9,11,57878,601723,DC,7,,,,,,,,,,,,,,,,,,,,,,,
Florida,11.8,12,38284,18801310,FL,8,,,,,,,,,,,,,,,,,,,,,,,
Georgia,10.6,13,36677,9687653,GA,8,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,7.6,15,35035,1360301,HI,9,240,"1,460",840,610,290,140,770,0,4350,1420257,0.003062,612580,,,0.391,2.385,1.375,0.99,0.471,0.23,1.62,0,7.462
Idaho,10.2,16,33832,1567582,ID,8,,,,,,,,,,,,,,,,,,,,,,,
Illinois,9.8,17,41059,12830632,IL,6,,,,,,,,,,,,,,,,,,,,,,,
Indiana,11,18,37045,6483802,IN,7,,,,,,,,,,,,,,,,,,,,,,,
Iowa,7.1,19,43108,3046355,IA,8,1410,3590,1480,900,430,150,710,60,8730,3107126,0.002809,1512740,,,0.932,2.372,0.98,0.592,0.287,0.097,0.471,0.041,5.772
Kansas,8.5,20,42541,2853118,KS,8,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,13.9,21,36632,4339367,KY,8,1650,7070,1610,1390,770,150,980,180,13800,,,,0.7633,,0.911,3.911,0.89,0.766,0.426,0.085,0.544,0.1,7.633
